Interreg-prográmma	N
Interreg-prográmmaruhta	N
Interreg-projeakta	N
Interreg-prošeakta	N
Interreg-ruhta	N
Interreg-ruhtadeapmi	N
Intrigue-joavku	N
Ipmila% viessu	N
Irak-soahti	N
Isaksen-rohkki	N
Israel% Ruong% -stipeanda	N
Issát-rohkki	N
Ivgu% gákti	N
Ivgu-guovlu	N
Ivgu-suorgi	N
Ivvár-rohkki	N
Ivvár-áddjárohkki	N
Iŋgun-rohkki	N
Iŋgá-áhkku	N
Jack-joavku	N
Jaloviina-lássa	N
Jalvvi-Ovllá-rohkki	N
Jawoy-álbmot	N
Jergul-doalut	N
Jergul-stoagus	N
Jernsletten-rohkki	N
Jerry-lihtti	N
Jesus-mánná	N
Jesus-rohkki	N
Jiella-joavku	N
Joavnna-rohkki	N
Jovnna-rohkki	N
Joddu-gealboguovddáš	N
Joddu-guovddáš	N
Joddu-projeakta	N
Joddu-prošeakta	N
Joensuu-gávpot	N
Johan-Isak-áddjá	N
Johanas-rohkki	N
Johanne-effeakta	N
Johansen-rohkki	N
Johkamohke% jolggaštus	N
Johkamohke% julggaštus	N
Johkamohke% márkanat	N
Johkamohki% márkanat	N
Johkamohkke-márkanat	N
Johkamohkki-márkanat	N
Johnsen-rohkki	N
Jord-joavku	N
Journalisten-aviisa	N
Journalisten-áviisa	N
Jovnna-áddjá	N
Jovsset-áddjá	N
Junná-prográmma	N
Jussi-bálkkašupmi	N
Juuso-rohkki	N
Jåks-rohkki	N
KFUK-ásodat	N
KID-nummar	N
KID-nummir	N
KID-nummár	N
KPK-govven	N
KPL-miellahttuvuohta	N
Kalahari-sáddomeahcci	N
Kalahari-sáttomeahcci	N
Kaleva-aviisa	N
Kaleva-áviisa	N
Kalmar-soahti	N
Kalstad-rohkki	N
Kanada-mátki	N
Kappfjell-ášši	N
Kara-girjegávpi	N
Karhunkierros-geinnodat	N
Kaukasus-várri	N
Kemi-rohkki	N
King-helikopter	N
Kingren-rohkki	N
Kitti-sohka	N
Kiwi-gákti	N
Klim-bálkkašupmi	N
Klondyke-áigi	N
Klouman-rohkki	N
Kolmozero-Voronje-guovlu	N
Kolstad-rohkki	N
Komi-olmmoš	N
Komi-republihkka	N
Komi-riika	N
Komi-álbmot	N
Komsa-ealli	N
Kon-bargojoavku	N
Kon-málle	N
Kon-ráva	N
Korssjøfjell-ášši	N
Kosovo-báhtareaddji	N
Krone-lákcajiekŋa	N
Kuuva-sohka	N
Kvalvik-lávdegoddi	N
Kyoto-beavdegirji	N
Kyoto-šiehtadus	N
Kárášjoga% gielda	N
Kárášjoga% guovlu	N
Kárášjoga% joavku	N
Kárášjoga% oahpaheaddji	N
Kárášjoga% sápmelaš	N
Kátjá-riehpu	N
Kåven-rohkki	N
LARM-projeakta	N
LARM-projeaktabargu	N
LARM-prošeakta	N
LARM-prošeaktabargu	N
LBD-stivrralahttu	N
LBD-čálli	N
LED-peara	N
LES-viessu	N
LES-visti	N
LHL-busse	N
LHL-searvi	N
LNG-fabrihkka	N
LO-jođiheaddji	N
LO-čálli	N
LOSA-skuvla	N
LOSA-ásaheapmi	N
LP-pláhta	N
LP-pláhtta	N
LP-skearru	N
LP-skierru	N
Laagendalsposten-aviisa	N
Laagendalsposten-áviisa	N
Lahti-gávpot	N
Lajla-girji	N
Land-aviisa	N
Land-áviisa	N
Larsen-rohkki	N
Lauri-áhčči	N
Leader-searvi	N
Leaibevuotna-luoddaearru	N
Lego-doardna	N
Lego-toardna	N
Lemet-gázzi	N
Lemet-vielljariehpu	N
Lennon-rohkki	N
Lestadius-rohkki	N
Læstadius-rohkki	N
Laestadius-rohkki	N
Levi-čoavddus	N
Liisá-riboš	N
Lissabon-šiehtadus	N
Liverpool-joavku	N
Loliondo-guovlu	N
Longyear-gávpot	N
Luciabeaivi	N
Ludvig-stipeanda	N
Lund-kommišuvdna	N
Luossajohka-hotealla	N
Lysthuset-dállu	N
Lágu% orohat	N
Láilá-filbma	N
Lákkonjárgga% ášši	N
Lárin-rohkki	N
Lásse-oamehas	N
Lásse-áddjá	N
Lávrrasvahkku	N
Lávvonjárga-beaivi	N
Länsman-bihttá	N
Länsman-rohkki	N
Løvdal-aktionista	N
MA-prográmma	N
MC-deaivvadeapmi	N
MM-gilvu	N
MM-golli	N
MMS-telefovdna	N
MOT-ambassadevra	N
MOT-organisašuvdna	N
MSM-jođiheaddji	N
MYEL-oadju	N
Maastricht-šiehtadus	N
Mack-geallir	N
Mack-keallir	N
Mack-keallár	N
Mack-vuola	N
Mack-vuolla	N
Magga-bealli	N
Magne-rohkki	N
Mallá-fanas	N
